,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,countries and areas ,"At least basic drinking water services
(%)
2017:Total ","At least basic drinking water services
(%)
2017:urban","At least basic drinking water services
(%)
2017:rural","At least basic sanitation services 
(%)
2017:total","At least basic sanitation services 
(%)
2017:urban","At least basic sanitation services 
(%)
2017:rural","Basic hygiene facilities 
(%)
2017:total","Basic hygiene facilities 
(%)
2017:urban","Basic hygiene facilities 
(%)
2017:rural ","basic water services
(%)
2016:total","Basic water services
(%)
2016:primary","Basic water services
(%)
2016:secondary","Basic sanitation services
(%)
2016:total ","Basic sanitation services
(%)
2016:primary","Basic sanitation services
(%)
2016:secondary","Basic hygiene services
(%)
2016:total","Basic hygiene services
(%)
2016:rpimary","Basic hygiene services
(%)
2016:secondary","Basic water services 
(%)
2016:total","Basic water services 
(%)
2016:total","Basic water services 
(%)
2016:total ","Basic water services 
(%)
2016:total "
,,Afghanistan,67,96,57,43,62,37,38,64,29,,,,,,,,,,,,,
,,Albania,91,92,90,98,98,97,,,,,,,,,,,,,,,,
,,Algeria,94,95,89,88,90,82,84,88,73,93,87,98,99,98,100,99,98,99,,,,
,,Andorra,100,100,100,100,100,100,,,,100,100,100,100,100,100,100,100,100,100,,,100
,,Angola,56,71,27,50,64,23,27,34,13,,,,,,,,,,,,,
,,Anguilla,97,97,,97,97,,,,,,,,,,,,,,,,,
,,Antigua and Barbuda,97,,,88,,,,,,,,,,,,,,,,,,
,,Argentina,,100,,,96,,,,,,,,77,77,,,,,,,,
,,Armenia,100,100,100,94,100,83,94,97,90,,,,,,,,,,97,41,69,97
,,Australia,100,100,100,100,,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Austria,100,100,100,100,100,100,,,,,,,,,,,,,,,,
,,Azerbaijan,91,99,82,93,96,88,83,,,100,100,100,100,100,100,100,100,100,100,48,100,
,,Bahamas,99,,,95,,,,,,,,,,,,,,,,,,
,,Bahrain,100,,,100,,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Bangladesh,97,97,97,48,51,47,35,51,26,74,73,87,59,57,67,44,39,58,70,,,11
,,Barbados,98,,,97,,,,,,100,100,100,100,100,100,100,100,100,,,,
,,Belarus,96,96,98,98,98,96,,,,100,100,100,100,100,100,100,100,100,,,,
,,Belgium,100,100,100,99,99,99,,,,100,100,100,,,,100,100,100,,,,
,,Belize,98,99,97,88,93,83,90,91,90,,,,,,,,,,,,,
,,Benin,66,76,58,16,27,8,11,17,6,,,,,,,,,,74,,,26
,,Bhutan,97,98,97,69,73,67,,,,59,58,63,76,75,93,,,,,,,
,,Bolivia (Plurinational State of),93,99,78,61,72,36,25,28,19,,,,,,,,,,,,,
,,Bosnia and Herzegovina,96,95,97,95,99,92,,,,,,,,,,,,,,,,
,,Botswana,90,97,76,77,89,51,,,,,,,,,,,,,,,,
,,Brazil,98,100,90,88,93,60,,,,,,,84,84,,61,61,65,,,,
,,British Virgin Islands,100,,,,,,,,,,,,,,,,,,,,,
,,Brunei Darussalam,100,,,,,,,,,,,,,,,,,,,,,
,,Bulgaria,99,99,98,86,87,84,,,,,,,,,,,,,,,,
,,Burkina Faso,48,80,35,19,39,11,12,23,8,53,55,42,70,74,52,18,18,,79,,,31
,,Burundi,61,90,57,46,42,46,6,20,4,42,39,,48,35,89,19,20,16,73,,,84
,,Cabo Verde,87,93,76,74,80,62,,,,,,,,,,,,,,,,
,,Cambodia,79,97,73,59,96,48,66,88,60,,,,39,48,67,41,49,40,,,,
,,Cameroon,60,77,39,39,56,18,9,15,3,34,31,,,,,,,,,,,
