countries and areas,Population (thousands) 2018: total,Population (thousands) 2018: under 18,Population (thousands) 2018: under 5,Annual population growth rate (%): 2000−2018,Annual population growth rate (%): 2018−2030α,Annual number of births (thousands) 2018,Total fertility  (live births per woman) 2018,Life expectancy at birth (years): 1970,Life expectancy at birth (years): 2000,Life expectancy at birth (years): 2018,Dependency ratio (%) 2018: total,Dependency ratio (%) 2018: child,Dependency ratio (%) 2018: old age,Proportion of urban population (%) 2018,Annual growth rate of urban population (%): 2000−2018,Annual growth rate of urban population (%): 2018−2030α,"Net migration rate (per 1,000 population) 2015−2020"
Afghanistan,"37,172","18,745","5,601",3.2,2.1,"1,207",4.5,37,56,64,84,79,5,25,4,3.4,-1.7
Albania,"2,883",635,173,-0.5,-0.3,34,1.6,67,74,78,46,26,20,60,1.6,0.9,-4.9
Algeria,"42,228","14,416","4,951",1.7,1.5,"1,023",3,50,71,77,58,47,10,73,2.8,2.1,-0.2
Andorra,77, − , − ,0.9,0.1, − ,−,−,−,−,−,−,−,88,0.6,0.1,−
Angola,"30,810","16,457","5,553",3.5,3.1,"1,257",5.5,41,47,61,96,92,4,66,5,4,0.2
Anguilla,15, − , − ,1.5,0.6, − ,−,−,−,−,−,−,−,100,1.5,0.6,−
Antigua and Barbuda,96,26,7,1.3,0.7,1,2,66,74,77,45,32,13,25,-0.2,0.8,0
Argentina,"44,361","13,103","3,748",1,0.8,755,2.3,66,74,77,56,39,17,92,1.2,1,0.1
Armenia,"2,952",710,211,-0.2,0,41,1.8,70,71,75,47,30,17,63,-0.3,0.4,-1.7
Australia,"24,898","5,664","1,627",1.5,1,318,1.8,71,80,83,53,29,24,86,1.6,1.2,6.4
Austria,"8,891","1,539",434,0.5,0.3,88,1.5,70,78,81,50,21,28,58,0.4,0.8,7.4
Azerbaijan,"9,950","2,708",872,1.1,0.6,167,2.1,63,67,73,42,33,9,56,1.6,1.4,0.1
Bahamas,386,106,26,1.4,0.8,5,1.8,66,72,74,42,32,10,83,1.5,1,2.6
Bahrain,"1,569",353,108,4.8,2.1,22,2,63,74,77,28,25,3,89,4.8,2.2,31.1
Bangladesh,"161,377","54,163","14,517",1.3,0.9,"2,935",2,47,65,72,49,41,8,37,3.7,2.7,-2.3
Barbados,287,61,15,0.3,0.1,3,1.6,69,77,79,50,26,24,31,-0.2,0.5,-0.3
Belarus,"9,453","1,855",566,-0.2,-0.2,111,1.7,71,67,75,46,25,22,79,0.4,0.3,0.9
Belgium,"11,482","2,336",637,0.6,0.3,125,1.7,71,78,81,56,27,29,98,0.7,0.3,4.2
Belize,383,140,39,2.4,1.7,8,2.3,66,69,74,54,47,7,46,2.5,2.2,3.2
Benin,"11,485","5,631","1,842",2.9,2.6,417,4.8,42,55,61,84,78,6,47,4,3.7,-0.2
Bhutan,754,237,63,1.4,0.9,13,2,40,61,71,47,38,9,41,4,2.4,0.4
Bolivia (Plurinational State of),"11,353","4,209","1,192",1.7,1.3,247,2.7,46,62,71,62,50,12,69,2.3,1.8,-0.8
Bosnia and Herzegovina,"3,324",593,142,-0.7,-0.5,27,1.3,66,74,77,45,21,24,48,0,0.4,-6.4
Botswana,"2,254",901,272,1.8,1.7,56,2.9,54,51,69,62,55,7,69,3.2,2.6,1.3
Brazil,"209,469","54,592","14,654",1,0.6,"2,915",1.7,59,70,76,43,31,13,87,1.4,0.8,0.1
British Virgin Islands,30, − , − ,2.1,0.5, − ,−,−,−,−,−,−,−,48,2.9,1.4,−
Brunei Darussalam,429,119,34,1.4,0.8,6,1.8,63,73,76,39,32,7,78,1.9,1.1,0
Bulgaria,"7,052","1,212",313,-0.7,-0.8,63,1.6,71,72,75,55,23,33,75,-0.2,-0.4,-0.7
Burkina Faso,"19,751","10,220","3,345",3,2.7,751,5.2,39,50,61,90,85,5,29,5.7,4.7,-1.3
Burundi,"11,175","5,789","1,984",3.1,2.9,437,5.4,44,49,61,91,87,4,13,5.7,5.4,0.2
Cabo Verde,544,186,53,1.3,1,11,2.3,53,69,73,50,43,7,66,2.5,1.6,-2.5
Cambodia,"16,250","5,944","1,774",1.6,1.2,365,2.5,42,58,70,56,49,7,23,2.9,3,-1.9
