countries and areas,"""Out-of-school rate 2012–2018*"" One year before primary entry age, male","""Out-of-school rate 2012–2018*"" One year before primary entry age, female","Out-of-school rate 2012–2018, Primary education, male","Out-of-school rate 2012–2018, Primary education, female","Out-of-school rate 2012–2018, Lower secondary education, male","Out-of-school rate 2012–2018, Lower secondary education, female","Out-of-school rate 2012–2018, male","Out-of-school rate 2012–2018, female","Completion rate 2012–2018, Primary education, male","Completion rate 2012–2018, Primary education, female","Completion rate 2012–2018, Lower secondary education, male","Completion rate 2012–2018, Lower secondary education, female","Completion rate 2012–2018, Upper secondary education, male","Completion rate 2012–2018, Upper secondary education, female","Learning outcomes 2010–2018, Proportion of children in grade 2 or 3 achieving minimum proficiency level, reading ","Learning outcomes 2010–2018, Proportion of children in grade 2 or 3 achieving minimum proficiency level, math","Learning outcomes 2010–2018, Proportion of children at the end of primary achieving minimum proficiency level, reading ","Learning outcomes 2010–2018, Proportion of children at the end of primary achieving minimum proficiency level, math","Learning outcomes 2010–2018, Proportion of children at the end of lower secondary achieving minimum proficiency level, reading ","Learning outcomes 2010–2018, Proportion of children at the end of lower secondary achieving minimum proficiency level, math","2010-2018, Youth (15–24 years) literacy rate (%), male","2010-2018, Youth (15–24 years) literacy rate (%), female"
Afghanistan,−,−,−,−,−,−,46,69,67,40,49,26,32,14,47,52,55,63,−,−,62,32
Albania,10,11,2,4,1,4,17,18,91,93,97,96,43,60,86,−,95,97,48,39,99,99
Algeria,−,−,0,2,−,−,−,−,93,94,57,72,30,47,−,41,−,−,21,19,−,−
Andorra,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Angola,30,38,−,−,−,−,−,−,53,49,41,31,21,15,−,−,−,−,−,−,85,71
Anguilla,−,−,−,−,−,−,−,−,−,−,−,−,−,−,59,38,76,67,−,−,−,−
Antigua and Barbuda,14,12,18,17,16,24,21,22,−,−,−,−,−,−,38,46,50,78,−,−,−,−
Argentina,1,3,0,1,1,1,13,5,95,97,72,81,53,66,62,63,67,59,62,38,99,100
Armenia,−,−,8,8,8,6,−,−,100,99,94,99,91,96,−,−,−,95,−,76,100,100
Australia,12,13,4,3,1,2,2,0,−,−,−,−,−,−,95,96,94,95,82,78,−,−
Austria,2,0,−,−,0,1,7,7,−,−,−,−,−,−,−,−,87,95,84,87,−,−
Azerbaijan,39,39,7,5,0,0,−,−,−,−,−,−,−,−,−,−,82,71,27,55,100,100
Bahamas,65,60,15,8,11,5,15,10,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Bahrain,23,24,1,1,3,0,7,5,−,−,−,−,−,−,−,72,−,−,−,75,94,95
Bangladesh,−,−,8,2,−,−,37,38,69,79,53,55,31,26,65,39,91,81,87,57,92,94
Barbados,8,12,10,9,4,0,−,−,99,99,98,98,91,97,−,−,87,60,−,−,100,100
Belarus,1,4,4,4,2,1,2,0,100,100,100,100,96,98,−,−,−,−,−,−,−,−
Belgium,0,0,1,1,3,3,1,1,−,−,−,−,−,−,−,−,−,−,80,80,−,−
Belize,16,16,0,1,11,11,38,34,78,86,40,48,20,25,25,−,−,−,−,−,−,−
Benin,12,12,−,−,26,43,46,66,51,44,25,13,12,5,10,34,52,40,−,−,64,41
Bhutan,−,−,19,17,20,10,34,27,67,71,41,38,25,18,−,−,−,−,33,51,90,84
Bolivia (Plurinational State of),8,9,7,8,13,13,17,18,−,−,−,−,−,−,−,−,−,−,−,−,99,99
Bosnia and Herzegovina,−,−,−,−,−,−,−,−,99,100,97,97,92,92,−,−,−,−,−,77,100,100
Botswana,67,65,11,10,−,−,−,−,−,−,−,−,−,−,56,61,66,66,79,80,96,99
Brazil,4,1,4,2,3,4,19,16,94,97,73,82,53,64,78,77,97,100,49,30,99,99
British Virgin Islands,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Brunei Darussalam,5,5,3,4,−,−,20,16,−,−,−,−,−,−,−,−,−,−,−,−,99,100
Bulgaria,5,4,7,7,6,7,8,12,−,−,−,−,−,−,−,−,93,92,59,58,98,98
Burkina Faso,83,83,22,24,48,46,67,68,32,29,13,6,6,2,35,59,57,59,−,−,57,44
Burundi,58,58,4,2,31,27,60,57,46,54,26,19,4,3,79,97,56,87,−,−,85,75
Cabo Verde,21,20,13,14,20,20,37,32,−,−,−,−,−,−,−,−,−,−,−,−,98,99
Cambodia,58,56,9,10,12,14,−,−,68,79,41,39,20,20,−,−,61,−,38,17,92,93
Cameroon,54,54,1,9,31,39,48,57,67,64,46,41,18,14,30,55,49,35,−,−,85,76
Canada,−,−,−,−,0,0,8,8,−,−,−,−,−,−,−,−,−,−,89,86,−,−
Central African Republic,−,−,23,40,44,66,79,90,54,33,16,8,8,6,−,−,−,−,−,−,49,27
Chad,89,90,17,34,51,70,71,88,31,24,18,10,15,6,18,48,16,19,39,33,41,22
Chile,3,3,5,5,8,8,7,6,−,−,−,−,−,−,70,63,94,98,72,63,99,99
China,−,−,−,−,−,−,−,−,97,97,93,93,64,67,82,85,−,−,80,79,100,100
Colombia,13,12,7,6,6,5,17,15,91,95,74,81,69,78,82,82,87,57,89,79,98,99
Comoros,60,62,15,16,30,29,57,55,75,77,47,45,24,32,−,−,66,70,−,−,74,70
Congo,79,77,16,9,−,−,−,−,78,82,56,45,28,19,38,71,41,29,−,−,86,77
Cook Islands,2,0,2,5,8,7,37,30,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Costa Rica,10,11,3,3,5,6,14,9,94,95,55,71,38,56,89,84,94,95,60,38,99,99
Côte d'Ivoire,78,78,7,15,36,49,57,69,60,53,36,22,17,15,17,34,48,27,−,−,59,47
Croatia,2,7,4,1,3,0,16,12,−,−,−,−,−,−,−,−,99,93,80,68,100,100
Cuba,0,0,3,3,0,0,23,15,99,100,98,98,81,86,−,−,94,95,−,−,100,100
Cyprus,5,6,2,2,2,2,6,5,−,−,−,−,−,−,87,93,−,−,64,78,100,100
Czechia,8,8,−,−,−,−,2,2,−,−,−,−,−,−,98,96,−,−,78,78,−,−
Democratic People's Republic of Korea,−,−,−,−,8,8,11,11,100,100,100,100,100,100,94,83,−,−,−,−,−,−
Democratic Republic of the Congo,−,−,−,−,−,−,−,−,71,66,59,49,30,21,−,−,81,85,−,−,91,80
Denmark,3,2,1,1,1,1,14,11,−,−,−,−,−,−,99,96,−,−,85,86,−,−
Djibouti,91,91,39,46,48,56,66,72,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Dominica,29,30,3,1,−,−,10,10,−,−,−,−,−,−,81,50,40,29,−,−,−,−
Dominican Republic,13,12,6,6,7,9,26,23,88,94,76,89,48,66,46,28,65,63,28,9,99,99
Ecuador,4,4,3,1,−,−,16,16,−,−,−,−,−,−,75,78,68,64,72,43,99,99
Egypt,62,62,2,1,8,7,22,25,91,92,79,81,71,69,5,−,−,−,−,47,89,87
El Salvador,19,18,19,18,16,17,34,35,84,89,73,74,34,36,−,23,78,79,−,20,98,98
Equatorial Guinea,57,55,56,55,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,98,99
Eritrea,82,83,61,64,53,60,66,71,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Estonia,10,7,7,6,−,−,5,3,−,−,−,−,−,−,−,−,−,−,89,89,100,100
Eswatini,−,−,24,25,13,13,25,30,52,68,38,45,31,33,−,−,99,91,−,−,92,95
